id,asset,year,rep_period,time_block_start,time_block_end,dual_max_ramp_up_with_unit_commitment,dual_max_ramp_down_with_unit_commitment
3024,UK_Gas,2050,9,15,16,0.0,0.0
3025,UK_Gas,2050,9,17,18,0.0,0.0
3026,UK_Gas,2050,9,19,20,0.0,0.0
3027,UK_Gas,2050,9,21,22,0.0,0.0
3028,UK_Gas,2050,9,23,24,0.0,0.0
3029,UK_Gas,2050,10,1,2,-0.0,-0.0
3030,UK_Gas,2050,10,3,4,0.0,0.0
3031,UK_Gas,2050,10,5,6,-14.693977064,0.0
3032,UK_Gas,2050,10,7,8,-29.387954127999997,0.0
3033,UK_Gas,2050,10,9,10,-38.101931191999995,0.0
3034,UK_Gas,2050,10,11,12,0.0,0.0
3035,UK_Gas,2050,10,13,14,0.0,0.0
3036,UK_Gas,2050,10,15,16,0.0,0.0
3037,UK_Gas,2050,10,17,18,0.0,0.0
3038,UK_Gas,2050,10,19,20,0.0,0.0
3039,UK_Gas,2050,10,21,22,0.0,23.407954128
3040,UK_Gas,2050,10,23,24,0.0,14.693977064
3041,UK_Nuclear,2050,1,1,2,-0.0,-0.0
3042,UK_Nuclear,2050,1,3,4,0.0,0.0
3043,UK_Nuclear,2050,1,5,6,0.0,0.0
3044,UK_Nuclear,2050,1,7,8,0.0,0.0
3045,UK_Nuclear,2050,1,9,10,-4.452000000000002,0.0
3046,UK_Nuclear,2050,1,11,12,0.0,0.0
3047,UK_Nuclear,2050,1,13,14,0.0,4.452000000000002
3048,UK_Nuclear,2050,1,15,16,0.0,0.0
3049,UK_Nuclear,2050,1,17,18,0.0,0.0
3050,UK_Nuclear,2050,1,19,20,0.0,0.0
3051,UK_Nuclear,2050,1,21,22,0.0,0.0
3052,UK_Nuclear,2050,1,23,24,0.0,0.0
3053,UK_Nuclear,2050,2,1,2,-0.0,-0.0
3054,UK_Nuclear,2050,2,3,4,0.0,0.0
3055,UK_Nuclear,2050,2,5,6,0.0,0.0
3056,UK_Nuclear,2050,2,7,8,0.0,0.0
3057,UK_Nuclear,2050,2,9,10,0.0,0.0
3058,UK_Nuclear,2050,2,11,12,-2.772000000000001,0.0
3059,UK_Nuclear,2050,2,13,14,0.0,0.0
3060,UK_Nuclear,2050,2,15,16,0.0,0.0
3061,UK_Nuclear,2050,2,17,18,0.0,0.0
3062,UK_Nuclear,2050,2,19,20,0.0,0.0
3063,UK_Nuclear,2050,2,21,22,0.0,1.518
3064,UK_Nuclear,2050,2,23,24,0.0,0.0
3065,UK_Nuclear,2050,3,1,2,-0.0,-0.0
3066,UK_Nuclear,2050,3,3,4,0.0,0.0
3067,UK_Nuclear,2050,3,5,6,0.0,0.0
3068,UK_Nuclear,2050,3,7,8,0.0,0.0
3069,UK_Nuclear,2050,3,9,10,0.0,0.0
3070,UK_Nuclear,2050,3,11,12,0.0,0.0
3071,UK_Nuclear,2050,3,13,14,0.0,0.0
3072,UK_Nuclear,2050,3,15,16,0.0,0.0
3073,UK_Nuclear,2050,3,17,18,0.0,0.0
3074,UK_Nuclear,2050,3,19,20,0.0,0.0
3075,UK_Nuclear,2050,3,21,22,0.0,0.0
3076,UK_Nuclear,2050,3,23,24,0.0,0.0
3077,UK_Nuclear,2050,4,1,2,-0.0,-0.0
3078,UK_Nuclear,2050,4,3,4,0.0,0.0
3079,UK_Nuclear,2050,4,5,6,0.0,0.0
3080,UK_Nuclear,2050,4,7,8,0.0,0.0
3081,UK_Nuclear,2050,4,9,10,0.0,0.0
3082,UK_Nuclear,2050,4,11,12,0.0,0.0
3083,UK_Nuclear,2050,4,13,14,0.0,0.0
3084,UK_Nuclear,2050,4,15,16,0.0,0.0
3085,UK_Nuclear,2050,4,17,18,0.0,0.0
3086,UK_Nuclear,2050,4,19,20,0.0,0.0
3087,UK_Nuclear,2050,4,21,22,0.0,0.0
3088,UK_Nuclear,2050,4,23,24,0.0,0.0
3089,UK_Nuclear,2050,5,1,2,-0.0,-0.0
3090,UK_Nuclear,2050,5,3,4,0.0,0.0
3091,UK_Nuclear,2050,5,5,6,0.0,0.0
3092,UK_Nuclear,2050,5,7,8,0.0,0.0
3093,UK_Nuclear,2050,5,9,10,0.0,0.0
3094,UK_Nuclear,2050,5,11,12,0.0,0.0
3095,UK_Nuclear,2050,5,13,14,0.0,0.0
3096,UK_Nuclear,2050,5,15,16,0.0,0.0
3097,UK_Nuclear,2050,5,17,18,0.0,0.0
3098,UK_Nuclear,2050,5,19,20,0.0,0.0
3099,UK_Nuclear,2050,5,21,22,0.0,0.0
3100,UK_Nuclear,2050,5,23,24,0.0,0.0
3101,UK_Nuclear,2050,6,1,2,-0.0,-0.0
3102,UK_Nuclear,2050,6,3,4,0.0,0.0
3103,UK_Nuclear,2050,6,5,6,0.0,0.0
3104,UK_Nuclear,2050,6,7,8,0.0,0.0
3105,UK_Nuclear,2050,6,9,10,0.0,0.0
3106,UK_Nuclear,2050,6,11,12,0.0,0.828
3107,UK_Nuclear,2050,6,13,14,0.0,0.0
3108,UK_Nuclear,2050,6,15,16,0.0,0.0
3109,UK_Nuclear,2050,6,17,18,0.0,0.0
3110,UK_Nuclear,2050,6,19,20,0.0,0.0
3111,UK_Nuclear,2050,6,21,22,0.0,0.0
3112,UK_Nuclear,2050,6,23,24,0.0,0.0
3113,UK_Nuclear,2050,7,1,2,-0.0,-0.0
3114,UK_Nuclear,2050,7,3,4,0.0,0.0
3115,UK_Nuclear,2050,7,5,6,0.0,0.0
3116,UK_Nuclear,2050,7,7,8,-3.108000000000004,0.0
3117,UK_Nuclear,2050,7,9,10,0.0,0.0
3118,UK_Nuclear,2050,7,11,12,0.0,0.0
3119,UK_Nuclear,2050,7,13,14,0.0,0.0
3120,UK_Nuclear,2050,7,15,16,0.0,0.0
3121,UK_Nuclear,2050,7,17,18,0.0,0.0
3122,UK_Nuclear,2050,7,19,20,0.0,0.0
3123,UK_Nuclear,2050,7,21,22,0.0,0.0
3124,UK_Nuclear,2050,7,23,24,0.0,3.1080000000000005
3125,UK_Nuclear,2050,8,1,2,-0.0,-0.0
3126,UK_Nuclear,2050,8,3,4,0.0,0.0
3127,UK_Nuclear,2050,8,5,6,0.0,0.0
3128,UK_Nuclear,2050,8,7,8,0.0,0.0
3129,UK_Nuclear,2050,8,9,10,0.0,0.0
3130,UK_Nuclear,2050,8,11,12,0.0,0.0
3131,UK_Nuclear,2050,8,13,14,0.0,0.0
3132,UK_Nuclear,2050,8,15,16,0.0,0.0
3133,UK_Nuclear,2050,8,17,18,0.0,0.0
3134,UK_Nuclear,2050,8,19,20,0.0,0.0
3135,UK_Nuclear,2050,8,21,22,0.0,0.0
3136,UK_Nuclear,2050,8,23,24,0.0,0.0
3137,UK_Nuclear,2050,9,1,2,-0.0,-0.0
3138,UK_Nuclear,2050,9,3,4,0.0,0.0
3139,UK_Nuclear,2050,9,5,6,0.0,0.0
3140,UK_Nuclear,2050,9,7,8,0.0,0.0
3141,UK_Nuclear,2050,9,9,10,0.0,0.0
3142,UK_Nuclear,2050,9,11,12,0.0,0.0
3143,UK_Nuclear,2050,9,13,14,0.0,0.0
3144,UK_Nuclear,2050,9,15,16,0.0,0.0
3145,UK_Nuclear,2050,9,17,18,0.0,0.0
3146,UK_Nuclear,2050,9,19,20,0.0,0.0
3147,UK_Nuclear,2050,9,21,22,0.0,0.0
3148,UK_Nuclear,2050,9,23,24,0.0,0.0
3149,UK_Nuclear,2050,10,1,2,-0.0,-0.0
3150,UK_Nuclear,2050,10,3,4,0.0,0.0
3151,UK_Nuclear,2050,10,5,6,0.0,0.0
3152,UK_Nuclear,2050,10,7,8,-3.8640000000000043,0.0
3153,UK_Nuclear,2050,10,9,10,0.0,0.0
3154,UK_Nuclear,2050,10,11,12,0.0,0.0
3155,UK_Nuclear,2050,10,13,14,0.0,0.0
3156,UK_Nuclear,2050,10,15,16,0.0,0.0
3157,UK_Nuclear,2050,10,17,18,0.0,0.0
3158,UK_Nuclear,2050,10,19,20,0.0,0.0
3159,UK_Nuclear,2050,10,21,22,0.0,0.0
3160,UK_Nuclear,2050,10,23,24,0.0,3.864000000000001
3161,UK_OCGT,2050,1,1,2,-0.0,-0.0
3162,UK_OCGT,2050,1,3,4,0.0,0.0
3163,UK_OCGT,2050,1,5,6,0.0,0.0
3164,UK_OCGT,2050,1,7,8,0.0,0.0
3165,UK_OCGT,2050,1,9,10,0.0,0.0
3166,UK_OCGT,2050,1,11,12,0.0,0.0
3167,UK_OCGT,2050,1,13,14,0.0,0.0
3168,UK_OCGT,2050,1,15,16,0.0,0.0
3169,UK_OCGT,2050,1,17,18,0.0,0.0
3170,UK_OCGT,2050,1,19,20,0.0,0.0
3171,UK_OCGT,2050,1,21,22,0.0,0.0
3172,UK_OCGT,2050,1,23,24,0.0,0.0
3173,UK_OCGT,2050,2,1,2,-0.0,-0.0
3174,UK_OCGT,2050,2,3,4,0.0,0.0
3175,UK_OCGT,2050,2,5,6,0.0,0.0
3176,UK_OCGT,2050,2,7,8,0.0,0.0
3177,UK_OCGT,2050,2,9,10,0.0,0.0
3178,UK_OCGT,2050,2,11,12,0.0,0.0
3179,UK_OCGT,2050,2,13,14,-10.220759999999999,0.0
3180,UK_OCGT,2050,2,15,16,-20.441519999999997,0.0
3181,UK_OCGT,2050,2,17,18,-30.662279999999996,0.0
3182,UK_OCGT,2050,2,19,20,0.0,0.0
3183,UK_OCGT,2050,2,21,22,0.0,29.02152
3184,UK_OCGT,2050,2,23,24,0.0,14.51076
3185,UK_OCGT,2050,3,1,2,-0.0,-0.0
3186,UK_OCGT,2050,3,3,4,0.0,0.0
3187,UK_OCGT,2050,3,5,6,0.0,0.0
3188,UK_OCGT,2050,3,7,8,0.0,0.0
3189,UK_OCGT,2050,3,9,10,0.0,0.0
3190,UK_OCGT,2050,3,11,12,0.0,0.0
3191,UK_OCGT,2050,3,13,14,0.0,0.0
3192,UK_OCGT,2050,3,15,16,0.0,0.0
3193,UK_OCGT,2050,3,17,18,0.0,0.0
3194,UK_OCGT,2050,3,19,20,0.0,0.0
3195,UK_OCGT,2050,3,21,22,0.0,0.0
3196,UK_OCGT,2050,3,23,24,0.0,0.0
3197,UK_OCGT,2050,4,1,2,-0.0,-0.0
3198,UK_OCGT,2050,4,3,4,0.0,0.0
3199,UK_OCGT,2050,4,5,6,0.0,0.0
3200,UK_OCGT,2050,4,7,8,0.0,0.0
3201,UK_OCGT,2050,4,9,10,0.0,0.0
3202,UK_OCGT,2050,4,11,12,0.0,0.0
3203,UK_OCGT,2050,4,13,14,0.0,0.0
3204,UK_OCGT,2050,4,15,16,0.0,0.0
3205,UK_OCGT,2050,4,17,18,0.0,0.0
3206,UK_OCGT,2050,4,19,20,0.0,0.0
3207,UK_OCGT,2050,4,21,22,0.0,0.0
3208,UK_OCGT,2050,4,23,24,0.0,0.0
3209,UK_OCGT,2050,5,1,2,-0.0,-0.0
3210,UK_OCGT,2050,5,3,4,0.0,0.0
3211,UK_OCGT,2050,5,5,6,0.0,0.0
3212,UK_OCGT,2050,5,7,8,0.0,0.0
3213,UK_OCGT,2050,5,9,10,0.0,0.0
3214,UK_OCGT,2050,5,11,12,0.0,0.0
3215,UK_OCGT,2050,5,13,14,0.0,0.0
3216,UK_OCGT,2050,5,15,16,0.0,0.0
3217,UK_OCGT,2050,5,17,18,0.0,0.0
3218,UK_OCGT,2050,5,19,20,0.0,0.0
3219,UK_OCGT,2050,5,21,22,0.0,0.0
3220,UK_OCGT,2050,5,23,24,0.0,0.0
3221,UK_OCGT,2050,6,1,2,-0.0,-0.0
3222,UK_OCGT,2050,6,3,4,0.0,0.0
3223,UK_OCGT,2050,6,5,6,0.0,0.0
3224,UK_OCGT,2050,6,7,8,0.0,0.0
3225,UK_OCGT,2050,6,9,10,0.0,0.0
