from_asset,partition,rep_period,specification,to_asset,year
CZ_E_Balance,4,1,uniform,CZ_electrolyzer,2050
CZ_electrolyzer,4,1,uniform,CZ_H_Demand,2050
EU_SMR_CCS,4,1,uniform,CZ_H_Demand,2050
PL_E_Balance,4,1,uniform,PL_electrolyzer,2050
PL_electrolyzer,4,1,uniform,PL_H_Demand,2050
EU_SMR_CCS,4,1,uniform,PL_H_Demand,2050
SE_E_Balance,4,1,uniform,SE_electrolyzer,2050
SE_electrolyzer,4,1,uniform,SE_H_Demand,2050
EU_SMR_CCS,4,1,uniform,SE_H_Demand,2050
NO_E_Balance,4,1,uniform,NO_electrolyzer,2050
NO_electrolyzer,4,1,uniform,NO_H_Demand,2050
EU_SMR_CCS,4,1,uniform,NO_H_Demand,2050
ES_E_Balance,4,1,uniform,ES_electrolyzer,2050
ES_electrolyzer,4,1,uniform,ES_H_Demand,2050
EU_SMR_CCS,4,1,uniform,ES_H_Demand,2050
PT_E_Balance,4,1,uniform,PT_electrolyzer,2050
PT_electrolyzer,4,1,uniform,PT_H_Demand,2050
EU_SMR_CCS,4,1,uniform,PT_H_Demand,2050
IT_E_Balance,4,1,uniform,IT_electrolyzer,2050
IT_electrolyzer,4,1,uniform,IT_H_Demand,2050
EU_SMR_CCS,4,1,uniform,IT_H_Demand,2050
MT_E_Balance,4,1,uniform,MT_electrolyzer,2050
MT_electrolyzer,4,1,uniform,MT_H_Demand,2050
EU_SMR_CCS,4,1,uniform,MT_H_Demand,2050
SI_E_Balance,4,1,uniform,SI_electrolyzer,2050
SI_electrolyzer,4,1,uniform,SI_H_Demand,2050
EU_SMR_CCS,4,1,uniform,SI_H_Demand,2050
HU_E_Balance,4,1,uniform,HU_electrolyzer,2050
HU_electrolyzer,4,1,uniform,HU_H_Demand,2050
EU_SMR_CCS,4,1,uniform,HU_H_Demand,2050
SK_E_Balance,4,1,uniform,SK_electrolyzer,2050
SK_electrolyzer,4,1,uniform,SK_H_Demand,2050
EU_SMR_CCS,4,1,uniform,SK_H_Demand,2050
LT_E_Balance,4,1,uniform,LT_electrolyzer,2050
LT_electrolyzer,4,1,uniform,LT_H_Demand,2050
EU_SMR_CCS,4,1,uniform,LT_H_Demand,2050
LV_E_Balance,4,1,uniform,LV_electrolyzer,2050
LV_electrolyzer,4,1,uniform,LV_H_Demand,2050
EU_SMR_CCS,4,1,uniform,LV_H_Demand,2050
EE_E_Balance,4,1,uniform,EE_electrolyzer,2050
EE_electrolyzer,4,1,uniform,EE_H_Demand,2050
EU_SMR_CCS,4,1,uniform,EE_H_Demand,2050
FI_E_Balance,4,1,uniform,FI_electrolyzer,2050
FI_electrolyzer,4,1,uniform,FI_H_Demand,2050
EU_SMR_CCS,4,1,uniform,FI_H_Demand,2050
HR_E_Balance,4,1,uniform,HR_electrolyzer,2050
HR_electrolyzer,4,1,uniform,HR_H_Demand,2050
EU_SMR_CCS,4,1,uniform,HR_H_Demand,2050
GR_E_Balance,4,1,uniform,GR_electrolyzer,2050
GR_electrolyzer,4,1,uniform,GR_H_Demand,2050
EU_SMR_CCS,4,1,uniform,GR_H_Demand,2050
BG_E_Balance,4,1,uniform,BG_electrolyzer,2050
BG_electrolyzer,4,1,uniform,BG_H_Demand,2050
EU_SMR_CCS,4,1,uniform,BG_H_Demand,2050
RO_E_Balance,4,1,uniform,RO_electrolyzer,2050
RO_electrolyzer,4,1,uniform,RO_H_Demand,2050
EU_SMR_CCS,4,1,uniform,RO_H_Demand,2050
CY_E_Balance,4,1,uniform,CY_electrolyzer,2050
CY_electrolyzer,4,1,uniform,CY_H_Demand,2050
EU_SMR_CCS,4,1,uniform,CY_H_Demand,2050
OBZLL_E_Balance,4,1,uniform,OBZLL_E_Demand,2050
OBZLL_E_Balance,4,1,uniform,OBZLL_electrolyzer,2050
OBZLL_electrolyzer,4,1,uniform,OBZLL_H_Demand,2050
EU_SMR_CCS,4,1,uniform,OBZLL_H_Demand,2050
NL_E_Balance,4,1,uniform,BE_E_Balance,2050
DE_E_Balance,4,1,uniform,NL_E_Balance,2050
DE_E_Balance,4,1,uniform,BE_E_Balance,2050
FR_E_Balance,4,1,uniform,DE_E_Balance,2050
FR_E_Balance,4,1,uniform,BE_E_Balance,2050
DK_E_Balance,4,1,uniform,DE_E_Balance,2050
DK_E_Balance,4,1,uniform,NL_E_Balance,2050
UK_E_Balance,4,1,uniform,BE_E_Balance,2050
UK_E_Balance,4,1,uniform,DK_E_Balance,2050
UK_E_Balance,4,1,uniform,FR_E_Balance,2050
UK_E_Balance,4,1,uniform,NL_E_Balance,2050
IE_E_Balance,4,1,uniform,UK_E_Balance,2050
IE_E_Balance,4,1,uniform,FR_E_Balance,2050
CH_E_Balance,4,1,uniform,DE_E_Balance,2050
CH_E_Balance,4,1,uniform,FR_E_Balance,2050
AT_E_Balance,4,1,uniform,CH_E_Balance,2050
AT_E_Balance,4,1,uniform,DE_E_Balance,2050
LU_E_Balance,4,1,uniform,BE_E_Balance,2050
LU_E_Balance,4,1,uniform,DE_E_Balance,2050
