asset,partition,rep_period,specification,year
SI_Gas,4,2,uniform,2050
SI_OCGT,4,2,uniform,2050
HU_E_ENS,4,2,uniform,2050
HU_Wind_Onshore,4,2,uniform,2050
HU_Solar,4,2,uniform,2050
HU_Hydro,4,2,uniform,2050
HU_Nuclear,4,2,uniform,2050
HU_Gas,4,2,uniform,2050
HU_OCGT,4,2,uniform,2050
SK_E_ENS,4,2,uniform,2050
SK_Wind_Onshore,4,2,uniform,2050
SK_Solar,4,2,uniform,2050
SK_Hydro,4,2,uniform,2050
SK_Nuclear,4,2,uniform,2050
SK_Coal,4,2,uniform,2050
SK_Gas,4,2,uniform,2050
LT_E_ENS,4,2,uniform,2050
LT_Wind_Onshore,4,2,uniform,2050
LT_Wind_Offshore,4,2,uniform,2050
LT_Solar,4,2,uniform,2050
LT_Hydro,4,2,uniform,2050
LT_Gas,4,2,uniform,2050
LV_E_ENS,4,2,uniform,2050
LV_Wind_Onshore,4,2,uniform,2050
LV_Wind_Offshore,4,2,uniform,2050
LV_Solar,4,2,uniform,2050
LV_Hydro,4,2,uniform,2050
LV_Gas,4,2,uniform,2050
EE_E_ENS,4,2,uniform,2050
EE_Wind_Onshore,4,2,uniform,2050
EE_Wind_Offshore,4,2,uniform,2050
EE_Solar,4,2,uniform,2050
FI_E_ENS,4,2,uniform,2050
FI_Wind_Onshore,4,2,uniform,2050
FI_Wind_Offshore,4,2,uniform,2050
FI_Solar,4,2,uniform,2050
FI_Nuclear,4,2,uniform,2050
FI_Gas,4,2,uniform,2050
FI_OCGT,4,2,uniform,2050
HR_E_ENS,4,2,uniform,2050
HR_Wind_Onshore,4,2,uniform,2050
HR_Wind_Offshore,4,2,uniform,2050
HR_Solar,4,2,uniform,2050
HR_Hydro,4,2,uniform,2050
