id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
405,BE_Coal,2030,2,9,9,5,0.0
406,BE_Coal,2030,2,11,11,6,0.0
407,BE_Coal,2030,2,13,13,7,0.0
408,BE_Coal,2030,2,15,15,8,0.0
409,BE_Coal,2030,2,17,17,9,0.0
410,BE_Coal,2030,2,19,19,10,0.0
411,BE_Coal,2030,2,21,21,11,0.0
412,BE_Coal,2030,2,23,23,12,0.0
413,BE_Coal,2030,3,3,3,2,0.0
414,BE_Coal,2030,3,5,5,3,0.0
415,BE_Coal,2030,3,7,7,4,0.0
416,BE_Coal,2030,3,9,9,5,0.0
417,BE_Coal,2030,3,11,11,6,0.0
418,BE_Coal,2030,3,13,13,7,0.0
419,BE_Coal,2030,3,15,15,8,0.0
420,BE_Coal,2030,3,17,17,9,0.0
421,BE_Coal,2030,3,19,19,10,0.0
422,BE_Coal,2030,3,21,21,11,0.0
423,BE_Coal,2030,3,23,23,12,0.0
424,BE_Coal,2030,4,3,3,2,0.0
425,BE_Coal,2030,4,5,5,3,0.0
426,BE_Coal,2030,4,7,7,4,0.0
427,BE_Coal,2030,4,9,9,5,0.0
428,BE_Coal,2030,4,11,11,6,0.0
429,BE_Coal,2030,4,13,13,7,0.0
430,BE_Coal,2030,4,15,15,8,0.0
431,BE_Coal,2030,4,17,17,9,0.0
432,BE_Coal,2030,4,19,19,10,0.0
433,BE_Coal,2030,4,21,21,11,0.0
434,BE_Coal,2030,4,23,23,12,0.0
435,BE_Coal,2030,5,3,3,2,0.0
436,BE_Coal,2030,5,5,5,3,0.0
437,BE_Coal,2030,5,7,7,4,0.0
438,BE_Coal,2030,5,9,9,5,0.0
439,BE_Coal,2030,5,11,11,6,0.0
440,BE_Coal,2030,5,13,13,7,0.0
441,BE_Coal,2030,5,15,15,8,0.0
442,BE_Coal,2030,5,17,17,9,0.0
443,BE_Coal,2030,5,19,19,10,0.0
444,BE_Coal,2030,5,21,21,11,0.0
445,BE_Coal,2030,5,23,23,12,0.0
446,BE_Coal,2030,6,3,3,2,0.0
447,BE_Coal,2030,6,5,5,3,0.0
448,BE_Coal,2030,6,7,7,4,0.0
449,BE_Coal,2030,6,9,9,5,0.0
450,BE_Coal,2030,6,11,11,6,0.0
451,BE_Coal,2030,6,13,13,7,0.0
452,BE_Coal,2030,6,15,15,8,0.0
453,BE_Coal,2030,6,17,17,9,0.0
454,BE_Coal,2030,6,19,19,10,0.0
455,BE_Coal,2030,6,21,21,11,0.0
456,BE_Coal,2030,6,23,23,12,0.0
457,BE_Coal,2030,7,3,3,2,0.0
458,BE_Coal,2030,7,5,5,3,0.0
459,BE_Coal,2030,7,7,7,4,0.0
460,BE_Coal,2030,7,9,9,5,0.0
461,BE_Coal,2030,7,11,11,6,0.0
462,BE_Coal,2030,7,13,13,7,0.0
463,BE_Coal,2030,7,15,15,8,0.0
464,BE_Coal,2030,7,17,17,9,0.0
465,BE_Coal,2030,7,19,19,10,0.0
