id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_shut_down_lower_bound
10278,PL_Nuclear,2050,9,21,22,11,0.0
10279,PL_Nuclear,2050,9,23,24,12,0.0
10280,PL_Nuclear,2050,10,3,4,2,0.0
10281,PL_Nuclear,2050,10,5,6,3,0.0
10282,PL_Nuclear,2050,10,7,8,4,0.0
10283,PL_Nuclear,2050,10,9,10,5,0.0
10284,PL_Nuclear,2050,10,11,12,6,0.0
10285,PL_Nuclear,2050,10,13,14,7,0.0
10286,PL_Nuclear,2050,10,15,16,8,0.0
10287,PL_Nuclear,2050,10,17,18,9,0.0
10288,PL_Nuclear,2050,10,19,20,10,0.0
10289,PL_Nuclear,2050,10,21,22,11,0.0
10290,PL_Nuclear,2050,10,23,24,12,0.0
10291,PL_OCGT,2050,1,3,4,2,0.0
10292,PL_OCGT,2050,1,5,6,3,0.0
10293,PL_OCGT,2050,1,7,8,4,0.0
10294,PL_OCGT,2050,1,9,10,5,0.0
10295,PL_OCGT,2050,1,11,12,6,0.0
10296,PL_OCGT,2050,1,13,14,7,0.0
10297,PL_OCGT,2050,1,15,16,8,0.0
10298,PL_OCGT,2050,1,17,18,9,0.0
10299,PL_OCGT,2050,1,19,20,10,0.0
10300,PL_OCGT,2050,1,21,22,11,0.0
10301,PL_OCGT,2050,1,23,24,12,0.0
10302,PL_OCGT,2050,2,3,4,2,0.0
10303,PL_OCGT,2050,2,5,6,3,0.0
10304,PL_OCGT,2050,2,7,8,4,0.0
10305,PL_OCGT,2050,2,9,10,5,0.0
10306,PL_OCGT,2050,2,11,12,6,0.0
10307,PL_OCGT,2050,2,13,14,7,0.0
10308,PL_OCGT,2050,2,15,16,8,0.0
10309,PL_OCGT,2050,2,17,18,9,0.0
10310,PL_OCGT,2050,2,19,20,10,0.0
10311,PL_OCGT,2050,2,21,22,11,0.0
10312,PL_OCGT,2050,2,23,24,12,0.0
10313,PL_OCGT,2050,3,3,4,2,0.0
10314,PL_OCGT,2050,3,5,6,3,0.0
10315,PL_OCGT,2050,3,7,8,4,0.0
10316,PL_OCGT,2050,3,9,10,5,0.0
10317,PL_OCGT,2050,3,11,12,6,0.0
10318,PL_OCGT,2050,3,13,14,7,0.0
10319,PL_OCGT,2050,3,15,16,8,0.0
10320,PL_OCGT,2050,3,17,18,9,0.0
10321,PL_OCGT,2050,3,19,20,10,0.0
10322,PL_OCGT,2050,3,21,22,11,0.0
10323,PL_OCGT,2050,3,23,24,12,0.0
10324,PL_OCGT,2050,4,3,4,2,0.0
10325,PL_OCGT,2050,4,5,6,3,0.0
10326,PL_OCGT,2050,4,7,8,4,0.0
10327,PL_OCGT,2050,4,9,10,5,0.0
10328,PL_OCGT,2050,4,11,12,6,0.0
10329,PL_OCGT,2050,4,13,14,7,0.0
10330,PL_OCGT,2050,4,15,16,8,0.0
10331,PL_OCGT,2050,4,17,18,9,0.0
10332,PL_OCGT,2050,4,19,20,10,0.0
10333,PL_OCGT,2050,4,21,22,11,0.0
10334,PL_OCGT,2050,4,23,24,12,0.0
